id,rating
47907,7
144982,5
10061,6
46986,6
36266,7
549,7
10478,6
213917,6
145925,7
116690,8
66634,7
100914,7
159,6
238,9
11134,7
132641,7
88224,7
42758,7
23945,5
9303,7
37820,7
22479,6
11985,7
9054,5
10232,6
410921,6
241058,5
38955,6
59569,6
114089,7
110513,6
9306,5
12559,5
11015,6
58770,6
124851,6
3587,5
10723,6
56077,6
19004,6
101230,6
10987,5
20318,7
44705,7
79782,7
43596,8
253632,6
26933,7
981,8
27854,7
872,8
2769,7
426,8
567,8
3078,8
164,8
13320,7
13528,8
213,8
284,8
4808,8
28288,8
239,8
289,8
963,8
11113,8
804,8
6620,8
31044,7
770,8
599,8
26531,7
15,8
62,8
630,8
705,8
909,8
121357,7
22490,8
223,8
25670,8
381,7
303,8
4174,8
8356,8
20758,7
1859,8
17281,7
18299,7
29376,8
64382,7
10907,8
1939,8
3598,8
22292,8
198,8
13562,8
3080,8
1712,8
32093,8
220,8
2897,7
3529,8
3085,8
1585,9
43795,7
900,8
85638,8
50001,6
3083,8
23114,7
43905,7
26378,7
22688,7
40206,7
22356,7
260,8
43488,7
10331,8
22733,6
22613,6
488,8
261,8
57575,6
32574,8
76464,6
22649,6
39448,7
176841,6
125587,7
52855,4
39940,7
22657,7
172868,6
85328,5
63945,6
11076,7
124632,7
10861,6
890,7
58985,7
1770,7
44465,5
18203,7
2033,6
47260,7
9333,6
9401,6
25739,6
12241,6
9400,7
11306,6
9625,5
10680,6
161806,6
6346,6
18660,6
35115,7
14136,6
10869,6
14821,6
31102,7
19186,7
6878,7
15944,6
22660,7
20723,7
18444,7
173,7
864,7
24795,6
81310,8
15947,6
11224,7
9078,7
29682,7
8367,7
11360,7
11114,6
12092,7
11229,7
12335,7
10948,7
433,8
15121,8
562,8
10163,5
117036,7
48862,6
11159,8
47199,6
30500,6
55058,5
41843,6
11412,7
27845,7
10938,8
42314,7
9591,7
10586,7
108365,6
23223,6
49471,7
25147,7
38153,5
9716,7
454,7
819,8
43777,7
10218,7
38191,6
56830,6
